Symbol,Name,Exchange,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ADMS,"Adamas Pharmaceuticals, Inc.",NASDAQ,13.93,$305.47M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,2.55,$53.26M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,NASDAQ,4.2,$297.3M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,NASDAQ,25.6,$293.47M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",NASDAQ,1.75,$17.73M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,NASDAQ,1.7,$25.6M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,NASDAQ,5.01,$64.56M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,NASDAQ,106.2,$52.81B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",NASDAQ,17.9,$866.34M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",NASDAQ,11.05,$715.53M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,NASDAQ,35.39,$1.53B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,"Advanced Emissions Solutions, Inc.",NASDAQ,7.6,$167.49M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",NASDAQ,47.13,$1.87B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AITP,Advanced Inhalation Therapies (AIT) Ltd.,NASDAQ,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aitp
AMD,"Advanced Micro Devices, Inc.",NASDAQ,6.56,$6.08B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",NASDAQ,8.6,$342.66M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",NASDAQ,5.29,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",NASDAQ,2.85,$117.84M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,NASDAQ,23.67,$1.18M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui
AEGR,"Aegerion Pharmaceuticals, Inc.",NASDAQ,1.75,$51.65M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
AEGN,Aegion Corp,NASDAQ,19,$645.29M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",NASDAQ,6.12,$82.08M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,NASDAQ,3.27,$53.49M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",NASDAQ,1.64,$32.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amtx
AEPI,AEP Industries Inc.,NASDAQ,108.85,$556.64M,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AERI,"Aerie Pharmaceuticals, Inc.",NASDAQ,32.8,$914.89M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",NASDAQ,24,$561.3M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,NASDAQ,3.45,$38.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",NASDAQ,4.67,$35.64M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
AFMD,Affimed N.V.,NASDAQ,1.95,$64.86M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,NASDAQ,4,$348M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",NASDAQ,7.18,$206.44M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",NASDAQ,9.19,$210.81M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",NASDAQ,49.46,$1.88B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,NASDAQ,19.71,$6.52B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,NASDAQ,25.2,$8.73B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCP,AGNC Investment Corp.,NASDAQ,25.39,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGFS,"AgroFresh Solutions, Inc.",NASDAQ,4.74,$236.86M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",NASDAQ,0.594,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
AIMT,"Aimmune Therapeutics, Inc.",NASDAQ,17.93,$757.62M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRM,Air Methods Corporation,NASDAQ,28.4,$1.08B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",NASDAQ,17.8263,$36.42M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",NASDAQ,14.57,$869.22M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",NASDAQ,11.98,$88.25M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,NASDAQ,3.1,$192.81M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,NASDAQ,5.38,$600.31M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",NASDAQ,65.81,$11.5B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,NASDAQ,8.7456,$103M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKBA,"Akebia Therapeutics, Inc.",NASDAQ,7.37,$280.15M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,NASDAQ,3.3,$17.99M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",NASDAQ,19.68,$2.48B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALRM,"Alarm.com Holdings, Inc.",NASDAQ,28.73,$1.31B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",NASDAQ,1.59,$81.63M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",NASDAQ,15.34,$657.62M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALBO,"Albireo Pharma, Inc.",NASDAQ,14.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,NASDAQ,12.73,$171.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,Alcobra Ltd.,NASDAQ,1.8,$49.61M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",NASDAQ,24.15,$1.21B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,5.3,$66.1M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,129,$28.93B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",NASDAQ,25.25,$209.97M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",NASDAQ,85.73,$6.86B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",NASDAQ,1.16,$53.08M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",NASDAQ,3.84,$132.49M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,NASDAQ,51.96,$7.87B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
